asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,is_amazon_choice,is_best_seller,sales_volume,discount,brand,product_url,date,week,unit_price,sub_category_name,rank
B09J1JRSLC,"Methylene Blue Pharmaceutical Grade, USP Grade, Third-Party Tested Dietary Supplement for Humans, No Formaldehyde, Made in USA (1% 50ml Bottle)",30.9,30.9,4.4,2987,True,False,7K+ bought in past month,,COMPASS LABORATORY,https://www.amazon.com/dp/B09J1JRSLC,2025-09-15,38,$18.28,Not Available,Not Available
B0CCXVJTHH,"Methylene Blue Drops Pharmaceutical Grade 3.75 fl oz, USA Made Glass Bottle and Dropper Pure 1% Aqueous Solution 110 mL, USP Heavy Metals 3rd Party Tested",23.88,31.88,4.3,1014,False,False,1K+ bought in past month,25.09,BACTERIOSTATIC,https://www.amazon.com/dp/B0CCXVJTHH,2025-09-15,38,$7.07,Inorganic Reagents,2
B0CV5QBFT7,"2% Methylene Blue 3.75 fl oz, USA Made Ultra Concentration Glass Bottle and Dropper Pharmaceutical Grade for Humans Nootropic Supplement - Heavy Metals Tested",49.88,49.88,4.3,839,False,False,1K+ bought in past month,,METHYLENE BLUE CO,https://www.amazon.com/dp/B0CV5QBFT7,2025-09-15,38,N/A,Analytical Reagents,2
B0BXTCGP6B,"Earth Harmony Methylene Blue 1% Pharmaceutical Grade Supplement with Dropper, Includes Nano Liquid Gold, Methylene Blue USP Grade, No Formaldehyde (2 Oz)",34.95,39.95,4.4,1826,False,True,4K+ bought in past month,12.52,Earth Harmony Naturals,https://www.amazon.com/dp/B0BXTCGP6B,2025-09-15,38,$17.48,Blended Vitamin & Mineral Supplements,110
B0DJZB5VP7,Methylene Blue 1% Solution 3.4 Fl Oz - 100 ml | Ultra High Purity | USP Pharma Grade Ingredients - Third-Party Tested | Formaldehyde Free | Glass Bottle | Heiltropfen®,14.7,17.7,4.5,1455,False,False,1K+ bought in past month,16.95,Heiltropfen,https://www.amazon.com/dp/B0DJZB5VP7,2025-09-15,38,$4.32,Lab Chemicals,20
B0CTFDSKY9,"Actiblue+ Methylene Blue 1% : Methylene Blue Pharmaceutical Grade ISO Certified Third Party Lab Tested 99,9% No Formaldehyde No Alcohol No Gluten&GMO(2Fl.Oz)",16.95,16.95,4.5,837,False,False,400+ bought in past month,,Biovitalis Solutions,https://www.amazon.com/dp/B0CTFDSKY9,2025-09-15,38,$8.48,Blended Vitamin & Mineral Supplements,930
B0BNK6KQ19,"Biopharm Methylene Blue, 1% USP (Pharmaceutical) Grade: 2×50 mL Twin Pack Glass: 3rd Party Tested",47.97,47.97,4.4,818,True,False,1K+ bought in past month,,Biopharm,https://www.amazon.com/dp/B0BNK6KQ19,2025-09-15,38,$23.99,Lab Chemicals,34
B0D7DZ4D39,"Pharmaceutical-Grade Methylene Blue 1% – 60mL | USP-Grade, Third-Party Tested, Alcohol-Free | Amber Dropper Bottle",24.99,39.99,4.3,492,False,False,1K+ bought in past month,37.51,PureGood,https://www.amazon.com/dp/B0D7DZ4D39,2025-09-15,38,N/A,Organic Reagents,3
B0D96XGXH5,"Methylene Blue 1% Solution (2 Pack) - 2oz USP Pharmaceutical Grade Drops, 99.99% Pure, Third-Party Tested For Purity, Made in USA",35.99,39.99,4.4,424,False,True,600+ bought in past month,10.0,PureGood,https://www.amazon.com/dp/B0D96XGXH5,2025-09-15,38,N/A,Chemical Standards,1
B0CPMZT7FP,Methylene Blue Drops - Methylene Blue Pharmaceutical Grade 1% - Liquid Drops Aqueous Solution 10 mg / 1 ml - Third Party Tested - Formaldehyde & Alcohol-Free - Made in USA 1.7 Fl OZ,21.89,25.89,4.3,646,False,False,1K+ bought in past month,15.45,LCG LABS,https://www.amazon.com/dp/B0CPMZT7FP,2025-09-15,38,$12.88,Aqueous Solutions,4
